repo,name,version,appVersion,updatedAt
main,alpine,1.0.0,3.12.0,2020-07-10T07:08:08.000Z
main,cert-manager,v0.15.2,v0.15.2,2020-07-10T07:08:08.000Z
main,consul,0.23.0,1.8.0,2020-07-10T07:08:08.000Z
main,haproxy-ingress,0.0.27,0.7.2,2020-07-10T07:08:08.000Z
main,ingress-nginx,2.10.0,0.33.0,2020-07-10T07:08:08.000Z
main,kubernetes-dashboard,2.2.0,2.0.3,2020-07-10T07:08:08.000Z
main,longhorn,1.0.0,v1.0.0,2020-07-10T07:08:08.000Z
main,redis,10.7.11,6.0.5,2020-07-10T07:08:08.000Z
main,traefik,8.9.0,2.2.1,2020-07-10T07:08:08.000Z
main,vault,0.6.0,1.4.2,2020-07-10T07:08:08.000Z
main,ingress-nginx,2.11.0,0.34.0,2020-07-10T05:07:48.000Z
main,consul,0.23.1,1.8.0,2020-07-10T10:09:00.000Z
main,traefik,8.9.1,2.2.5,2020-07-15T00:08:33.000Z
main,kubernetes-dashboard,2.3.0,2.0.3,2020-07-15T05:33:30.000Z
main,ingress-nginx,2.11.1,0.34.1,2020-07-15T13:07:28.000Z
main,cert-manager,v0.16.0,v0.16.0,2020-07-23T07:32:53.000Z
main,ingress-nginx,2.11.2,0.34.1,2020-07-29T07:32:57.000Z
main,consul,0.24.0,1.8.1,2020-07-31T10:10:16.000Z
main,redis,10.7.12,6.0.6,2020-08-01T08:09:37.000Z
main,redis,10.7.11,6.0.5,2020-08-01T08:33:13.000Z
main,redis,10.7.12,6.0.6,2020-08-01T09:08:32.000Z
main,redis,10.7.11,6.0.5,2020-08-01T10:09:31.000Z
main,redis,10.7.12,6.0.6,2020-08-01T10:33:22.000Z
main,redis,10.7.11,6.0.5,2020-08-01T11:08:31.000Z
main,redis,10.7.12,6.0.6,2020-08-01T11:33:18.000Z
main,redis,10.7.11,6.0.5,2020-08-01T12:33:14.000Z
main,redis,10.7.12,6.0.6,2020-08-01T15:08:00.000Z
main,redis,10.7.11,6.0.5,2020-08-01T16:25:40.000Z
main,redis,10.7.12,6.0.6,2020-08-01T18:32:55.000Z
